CWI_ID,TCMBank_ID,level1_name_en,level2_name,TCM_name,TCM_name_en,Herb_pinyin_name,Herb_latin_name,Properties,Meridians,UsePart,Function,Indication,Toxicity,Clinical_manifestations,Therapeutic_en_class,Therapeutic_cn_class,TCMID_id,TCM_ID_id,SymMap_id,TCMSP_id,Herb_ID
CWIHE000001,TCMBANKHE000001,,,松节油,Turpentine Oil,SONG JIE YOU,Oleum Terebinthinae,,,,"Treatment of myalgia, arthralgia","Treatment of myalgia, arthralgia",,,,,,2107,,1047,HERB005260
CWIHE000002,TCMBANKHE000002,,,石榴,Pomegranate fruit,SHI LIU,Fructus Punixae Granati,Warm; Sour; Punkery,Large Intestine; Stomach,Punica granatum L.,,,,,,,,2816,,657,HERB005069
CWIHE000003,TCMBANKHE000003,,,鱼肝油,Fish Liver Oil,YU GAN YOU,Oleum Fecoris Piscis,,,,,,,,,,,954,,811,HERB006713
CWIHE000004,TCMBANKHE000004,,,棕榈,Fortune Windmillpalm Petiole,ZONG LV,Petiolus Trachycarpi,,,Trachycarpus fortunei H. Wendl.,"Treatment of spitting of blood, epistaxis, hematuria, hematochezia, abnormal uterine bleeding.","Treatment of spitting of blood, epistaxis, hematuria, hematochezia, abnormal uterine bleeding.",,,Bleeding control,止血,,6499,,1098,HERB007244
CWIHE000005,TCMBANKHE000005,,,螺旋藻,Spirulina major Kuetz.,LUO XUAN ZAO,,,,,,,,,,,,1840,,,HERB003610
CWIHE000006,TCMBANKHE000006,,,芝麻油,oil of Oriental Sesame,ZHI MA YOU,Oleum Sesami,Mild; Sweet,Lung; Spleen; Liver; Kidney,Sesamum indicum DC,"Treatment of dizziness, blurred vision, tinnitus, impaired hearing, premature greying of the hair and beard, loss of hair after a serious disease, constipation.","Treatment of dizziness, blurred vision, tinnitus, impaired hearing, premature greying of the hair and beard, loss of hair after a serious disease, constipation.",,,Purging,泻下,,6399,,860,HERB007021
CWIHE000007,TCMBANKHE000007,,,门东萨,,,,,,,,,,,,,,,,,
CWIHE000008,TCMBANKHE000008,,,,"Chachi Citrus Equivalent plant: Citrus unshiu, Citrus tankan, Citrus cultivars, Citrus decumana",GAN,Citrus chachiensis,,,fruit,"To engender liquid and allay thirst, arouse liquor, disinhibit urine.","Heat vexation in chest, drunkenness, inhibited urination.",,,,,,6182,,,HERB001778
CWIHE000009,TCMBANKHE000009,,,浆果苦树,,,,,,,,,,,,,,,,,
CWIHE000010,TCMBANKHE000010,,,斑草,Indian  Heliotrope,,,,,,,,,,,,,,,,
