CWI_ID,TCMBank_ID,Gene_name,Gene_alias,Description,Map_location,Gene_Type,TTD_gene_type
CWITA000001,TCMBANKGE000001,CXCR2,CD182; CDw128b; CMKAR2; IL8R2; IL8RA; IL8RB,C-X-C motif chemokine receptor 2,2q35,protein-coding,Successful target
CWITA000002,TCMBANKGE000002,CXCL3,CINC-2b; GRO3; GROg; MIP-2b; MIP2B; SCYB3,C-X-C motif chemokine ligand 3,4q13.3,protein-coding,/
CWITA000003,TCMBANKGE000003,ASAH1,AC; ACDase; ASAH; PHP; PHP32; SMAPME,N-acylsphingosine amidohydrolase 1,8p22,protein-coding,/
CWITA000004,TCMBANKGE000004,PWAR4,PAR-4; PAR4,Prader Willi/Angelman region RNA 4,15q11.2,ncRNA,/
CWITA000005,TCMBANKGE000005,UGCG,GCS; GLCT1,UDP-glucose ceramide glucosyltransferase,9q31.3,protein-coding,Successful target
CWITA000006,TCMBANKGE000006,MIR16-2,MIRN16-2; mir-16-2; mir-16-3,microRNA 16-2,3q25.33,ncRNA,/
CWITA000007,TCMBANKGE000007,IL12B,CLMF; CLMF2; IL-12B; IMD28; IMD29; NKSF; NKSF2,interleukin 12B,5q33.3,protein-coding,Successful target
CWITA000008,TCMBANKGE000008,CD40,Bp50; CDW40; TNFRSF5; p50,CD40 molecule,20q13.12,protein-coding,Research target
CWITA000009,TCMBANKGE000009,GJA1,AVSD3; CMDR; CX43; EKVP; EKVP3; GJAL; HLHS1; HSS; ODDD; PPKCA,gap junction protein alpha 1,6q22.31,protein-coding,Clinical Trial target
CWITA000010,TCMBANKGE000010,CDK5R1,CDK5P35; CDK5R; NCK5A; p23; p25; p35; p35nck5a,cyclin dependent kinase 5 regulatory subunit 1,17q11.2,protein-coding,Research target
CWITA000011,TCMBANKGE000011,DCX,DBCN; DC; LISX; SCLH; XLIS,doublecortin,Xq23,protein-coding,/
CWITA000012,TCMBANKGE000012,TAGLN,SM22; SM22-alpha; SMCC; TAGLN1; WS3-10,transgelin,11q23.3,protein-coding,Research target
CWITA000013,TCMBANKGE000013,G6PC,G6PC1; G6PT; G6Pase; GSD1; GSD1a,glucose-6-phosphatase catalytic subunit,17q21.31,protein-coding,Research target
CWITA000014,TCMBANKGE000014,PCK1,PCKDC; PEPCK-C; PEPCK1; PEPCKC,phosphoenolpyruvate carboxykinase 1,20q13.31,protein-coding,/
CWITA000015,TCMBANKGE000015,ADORA2A,A2aR; ADORA2; RDC8,adenosine A2a receptor,22q11.23,protein-coding,Successful target
CWITA000016,TCMBANKGE000016,MYH6,ASD3; CMD1EE; CMH14; MYHC; MYHCA; SSS3; alpha-MHC,myosin heavy chain 6,14q11.2,protein-coding,/
CWITA000017,TCMBANKGE000017,MAPT,DDPAC; FTDP-17; MAPTL; MSTD; MTBT1; MTBT2; PPND; PPP1R103; TAU,microtubule associated protein tau,17q21.31,protein-coding,Clinical Trial target
CWITA000018,TCMBANKGE000018,KAT2B,CAF; P/CAF; PCAF,lysine acetyltransferase 2B,3p24.3,protein-coding,Research target
CWITA000019,TCMBANKGE000019,RAB5A,RAB5,"RAB5A, member RAS oncogene family",3p24.3,protein-coding,/
CWITA000020,TCMBANKGE000020,NDUFS4,AQDQ; CI-18; CI-18 kDa; CI-AQDQ; MC1DN1,NADH:ubiquinone oxidoreductase subunit S4,5q11.2,protein-coding,/
CWITA000021,TCMBANKGE000021,MB,PVALB,myoglobin,22q12.3,protein-coding,/
CWITA000022,TCMBANKGE000022,CAMK2A,CAMKA; CaMKIINalpha; CaMKIIalpha; MRD53; MRT63,calcium/calmodulin dependent protein kinase II alpha,5q32,protein-coding,/
CWITA000023,TCMBANKGE000023,CNTNAP1,CASPR; CHN3; CNTNAP; NRXN4; P190,contactin associated protein 1,17q21.2,protein-coding,/
CWITA000024,TCMBANKGE000024,NDUFV1,CI-51K; CI51KD; MC1DN4; UQOR1,NADH:ubiquinone oxidoreductase core subunit V1,11q13.2,protein-coding,/
CWITA000025,TCMBANKGE000025,TNFRSF10D,CD264; DCR2; TRAIL-R4; TRAILR4; TRUNDD,TNF receptor superfamily member 10d,8p21.3,protein-coding,/
CWITA000026,TCMBANKGE000026,FYN,SLK; SYN; p59-FYN,"FYN proto-oncogene, Src family tyrosine kinase",6q21,protein-coding,Successful target
CWITA000027,TCMBANKGE000027,MKNK1,MNK1,MAPK interacting serine/threonine kinase 1,1p33,protein-coding,Clinical Trial target
CWITA000028,TCMBANKGE000028,PHB,HEL-215; HEL-S-54e; PHB1,prohibitin,17q21.33,protein-coding,Research target
CWITA000029,TCMBANKGE000029,GZMB,C11; CCPI; CGL-1; CGL1; CSP-B; CSPB; CTLA1; CTSGL1; HLP; SECT,granzyme B,14q12,protein-coding,Research target
CWITA000030,TCMBANKGE000030,FKRP,FKTR; LGMD2I; LGMDR9; MDC1C; MDDGA5; MDDGB5; MDDGC5,fukutin related protein,19q13.32,protein-coding,/
CWITA000031,TCMBANKGE000031,DNMT3A,DNMT3A2; HESJAS; M.HsaIIIA; TBRS,DNA methyltransferase 3 alpha,2p23.3,protein-coding,Patented target
CWITA000032,TCMBANKGE000032,ARHGEF2,GEF; GEF-H1; GEFH1; LFP40; Lfc; NEDMHM; P40,Rho/Rac guanine nucleotide exchange factor 2,1q22,protein-coding,/
CWITA000033,TCMBANKGE000033,SOS1,GF1; GGF1; GINGF; HGF; NS4; SOS-1,SOS Ras/Rac guanine nucleotide exchange factor 1,2p22.1,protein-coding,/
CWITA000034,TCMBANKGE000034,PFKFB3,IPFK2; PFK2; iPFK-2,"6-phosphofructo-2-kinase/fructose-2,6-biphosphatase 3",10p15.1,protein-coding,Clinical Trial target
CWITA000035,TCMBANKGE000035,PDK2,PDHK2; PDKII,pyruvate dehydrogenase kinase 2,17q21.33,protein-coding,Research target
CWITA000036,TCMBANKGE000036,SOCS1,CIS1; CISH1; JAB; SOCS-1; SSI-1; SSI1; TIP-3; TIP3,suppressor of cytokine signaling 1,16p13.13,protein-coding,Research target
CWITA000037,TCMBANKGE000037,CSF1,CSF-1; MCSF,colony stimulating factor 1,1p13.3,protein-coding,Clinical Trial target
CWITA000038,TCMBANKGE000038,SLC11A1,LSH; NRAMP; NRAMP1,solute carrier family 11 member 1,2q35,protein-coding,/
CWITA000039,TCMBANKGE000039,TMEM171,PRP2,transmembrane protein 171,5q13.2,protein-coding,/
CWITA000040,TCMBANKGE000040,IRF2,IRF-2,interferon regulatory factor 2,4q35.1,protein-coding,/
CWITA000041,TCMBANKGE000041,IRF1,IRF-1; MAR,interferon regulatory factor 1,5q31.1,protein-coding,Research target
CWITA000042,TCMBANKGE000042,GPR35,-,G protein-coupled receptor 35,2q37.3,protein-coding,Research target
CWITA000043,TCMBANKGE000043,BHLHE40,BHLHB2; Clast5; DEC1; HLHB2; SHARP-2; SHARP2; STRA13; Stra14,basic helix-loop-helix family member e40,3p26.1,protein-coding,/
CWITA000044,TCMBANKGE000044,SIK3,L19; QSK; SEMDK; SIK-3,SIK family kinase 3,11q23.3,protein-coding,Research target
CWITA000045,TCMBANKGE000045,IRS2,IRS-2,insulin receptor substrate 2,13q34,protein-coding,/
CWITA000046,TCMBANKGE000046,PIK3R1,AGM7; GRB1; IMD36; p85; p85-ALPHA,phosphoinositide-3-kinase regulatory subunit 1,5q13.1,protein-coding,/
CWITA000047,TCMBANKGE000047,AKT1,AKT; CWS6; PKB; PKB-ALPHA; PRKBA; RAC; RAC-ALPHA,AKT serine/threonine kinase 1,14q32.33,protein-coding,Clinical Trial target
CWITA000048,TCMBANKGE000048,PRKN,AR-JP; LPRS2; PARK2; PDJ,parkin RBR E3 ubiquitin protein ligase,6q26,protein-coding,/
CWITA000049,TCMBANKGE000049,CCDC88B,BRLZ; CCDC88; HKRP3; gipie,coiled-coil domain containing 88B,11q13.1,protein-coding,/
CWITA000050,TCMBANKGE000050,MERTK,MER; RP38; Tyro12; c-Eyk; c-mer,"MER proto-oncogene, tyrosine kinase",2q13,protein-coding,Clinical Trial target
CWITA000051,TCMBANKGE000051,IL1B,IL-1; IL1-BETA; IL1F2; IL1beta,interleukin 1 beta,2q14.1,protein-coding,Successful target
CWITA000052,TCMBANKGE000052,TNF,DIF; TNF-alpha; TNFA; TNFSF2; TNLG1F,tumor necrosis factor,6p21.33,protein-coding,Successful target
CWITA000053,TCMBANKGE000053,NFKB1,CVID12; EBP-1; KBF1; NF-kB; NF-kB1; NF-kappa-B1; NF-kappaB; NF-kappabeta; NFKB-p105; NFKB-p50; NFkappaB,nuclear factor kappa B subunit 1,4q24,protein-coding,Clinical Trial target
CWITA000054,TCMBANKGE000054,GAD1,CPSQ1; GAD; SCP,glutamate decarboxylase 1,2q31.1,protein-coding,Research target
CWITA000055,TCMBANKGE000055,Ntf5,2900040K06Rik; AI462899; NT-4; NT-5; NT4; NT4/5; Ntf-5; Ntf4,neurotrophin 5,7 B3|7 29.3 cM,protein-coding,/
CWITA000056,TCMBANKGE000056,SLC8B1,NCKX6; NCLX; SLC24A6,solute carrier family 8 member B1,12q24.13,protein-coding,Research target
CWITA000057,TCMBANKGE000057,MCU,C10orf42; CCDC109A; HsMCU,mitochondrial calcium uniporter,10q22.1,protein-coding,/
CWITA000058,TCMBANKGE000058,SCN4A,CMS16; HOKPP2; HYKPP; HYPP; NAC1A; Na(V)1.4; Nav1.4; SkM1,sodium voltage-gated channel alpha subunit 4,17q23.3,protein-coding,Clinical Trial target
CWITA000059,TCMBANKGE000059,NGFR,CD271; Gp80-LNGFR; TNFRSF16; p75(NTR); p75NTR,nerve growth factor receptor,17q21.33,protein-coding,Successful target
CWITA000060,TCMBANKGE000060,CRHR1,CRF-R; CRF-R-1; CRF-R1; CRF1; CRFR-1; CRFR1; CRH-R-1; CRH-R1; CRHR; CRHR1L,corticotropin releasing hormone receptor 1,17q21.31,protein-coding,Successful target
CWITA000061,TCMBANKGE000061,OXTR,OT-R,oxytocin receptor,3p25.3,protein-coding,Successful target
CWITA000062,TCMBANKGE000062,SCN1A,EIEE6; FEB3; FEB3A; FHM3; GEFSP2; HBSCI; NAC1; Nav1.1; SCN1; SMEI,sodium voltage-gated channel alpha subunit 1,2q24.3,protein-coding,Research target
CWITA000063,TCMBANKGE000063,SCN8A,BFIS5; CERIII; CIAT; EIEE13; MED; MYOCL2; NaCh6; Nav1.6; PN4,sodium voltage-gated channel alpha subunit 8,12q13.13,protein-coding,Clinical Trial target
CWITA000064,TCMBANKGE000064,SCN3A,EIEE62; FFEVF4; NAC3; Nav1.3,sodium voltage-gated channel alpha subunit 3,2q24.3,protein-coding,Successful target
CWITA000065,TCMBANKGE000065,SCN9A,ETHA; FEB3B; GEFSP7; HSAN2D; NE-NA; NENA; Nav1.7; PN1; SFNP,sodium voltage-gated channel alpha subunit 9,2q24.3,protein-coding,Clinical Trial target
CWITA000066,TCMBANKGE000066,YY1,DELTA; GADEVS; INO80S; NF-E1; UCRBP; YIN-YANG-1,YY1 transcription factor,14q32.2,protein-coding,/
CWITA000067,TCMBANKGE000067,NCF1,NCF1A; NOXO2; SH3PXD1A; p47phox,neutrophil cytosolic factor 1,7q11.23,protein-coding,Research target
CWITA000068,TCMBANKGE000068,VEGFC,Flt4-L; LMPH1D; LMPHM4; VRP,vascular endothelial growth factor C,4q34.3,protein-coding,Clinical Trial target
CWITA000069,TCMBANKGE000069,CCL17,A-152E5.3; ABCD-2; SCYA17; TARC,C-C motif chemokine ligand 17,16q21,protein-coding,/
CWITA000070,TCMBANKGE000070,CAV1,BSCL3; CGL3; LCCNS; MSTP085; PPH3; VIP21,caveolin 1,7q31.2,protein-coding,Research target
CWITA000071,TCMBANKGE000071,BTG2,APRO1; PC3; TIS21,BTG anti-proliferation factor 2,1q32.1,protein-coding,/
CWITA000072,TCMBANKGE000072,CXCL12,IRH; PBSF; SCYB12; SDF1; TLSF; TPAR1,C-X-C motif chemokine ligand 12,10q11.21,protein-coding,Clinical Trial target
CWITA000073,TCMBANKGE000073,CD4,CD4mut,CD4 molecule,12p13.31,protein-coding,Successful target
CWITA000074,TCMBANKGE000074,MIR221,MIRN221; miRNA221; mir-221,microRNA 221,Xp11.3,ncRNA,/
CWITA000075,TCMBANKGE000075,IL1RN,DIRA; ICIL-1RA; IL-1RN; IL-1ra; IL-1ra3; IL1F3; IL1RA; IRAP; MVCD4,interleukin 1 receptor antagonist,2q14.1,protein-coding,/
CWITA000076,TCMBANKGE000076,RPS14,EMTB; S14,ribosomal protein S14,5q33.1,protein-coding,/
CWITA000077,TCMBANKGE000077,ROCK2,ROCK-II,Rho associated coiled-coil containing protein kinase 2,2p25.1,protein-coding,Clinical Trial target
CWITA000078,TCMBANKGE000078,BRD4,CAP; HUNK1; HUNKI; MCAP,bromodomain containing 4,19p13.12,protein-coding,Clinical Trial target
CWITA000079,TCMBANKGE000079,RHOD,ARHD; RHOHP1; RHOM; Rho,ras homolog family member D,11q13.2,protein-coding,/
CWITA000080,TCMBANKGE000080,CYP4F2,CPF2,cytochrome P450 family 4 subfamily F member 2,19p13.12,protein-coding,/
CWITA000081,TCMBANKGE000081,EPHX2,ABHD20; CEH; SEH,epoxide hydrolase 2,8p21.2-p21.1,protein-coding,Clinical Trial target
CWITA000082,TCMBANKGE000082,HMOX2,HO-2,heme oxygenase 2,16p13.3,protein-coding,Research target
CWITA000083,TCMBANKGE000083,CYP2J2,CPJ2; CYPIIJ2,cytochrome P450 family 2 subfamily J member 2,1p32.1,protein-coding,/
CWITA000084,TCMBANKGE000084,MYLK3,MLCK; MLCK2; caMLCK,myosin light chain kinase 3,16q11.2,protein-coding,/
CWITA000085,TCMBANKGE000085,EIF4A1,DDX2A; EIF-4A; EIF4A; eIF-4A-I; eIF4A-I,eukaryotic translation initiation factor 4A1,17p13.1,protein-coding,/
CWITA000086,TCMBANKGE000086,VKORC1,EDTP308; MST134; MST576; VKCFD2; VKOR,vitamin K epoxide reductase complex subunit 1,16p11.2,protein-coding,Successful target
